table,seq,column,is_pk,is_fk,type,size,default,d_caster,description,id
summary,1,id,1,,INTEGER,,,,,c02l01001
summary,2,category,,,VARCHAR,75,-,,,c02l01002
summary,3,code,,,VARCHAR,62,-,,,c02l01003
summary,4,numawards,,,INTEGER,34,,,,c02l01004
summary,5,wage2yearbefore,,,INTEGER,34,,dollars,,c02l01005
summary,6,matched2after,,,INTEGER,3,,percent,,c02l01006
summary,7,wage5yearafter,,,INTEGER,76,,dollars,,c02l01007
summary,8,matched5after,,,INTEGER,75,,percent,,c02l01008
summary,9,wage2yearafter,,,INTEGER,75,,dollars,,c02l01009
summary,10,matched2before,,,INTEGER,5,,percent,,c02l0100a
,,,,,,,,,,
colleges,1,id,1,,INTEGER,,,,,c02l02001
colleges,2,category,,,VARCHAR,75,,,,c02l02002
colleges,3,code,,,VARCHAR,75,,,,c02l02003
colleges,4,matched3after,,,INTEGER,32,,percent,,c02l02004
colleges,5,numawards,,,INTEGER,3,,,,c02l02005
colleges,6,wage3after,,,INTEGER,32,,dollars,,c02l02006
colleges,7,college,,,VARCHAR,19,,,,c02l02007
